Date,-1,1,-1,1,-1,1,-1,1,avgPrice_chang,lag1,,lag2,,lag3,,stock_price_movement
15/03/2018,0.26744186,0.73255814,0.22619048,0.77380952,-0.041477,1,0.23850085,0.76149915,-0.0169,-0.05354944,0.8,-0.3041184,0.48,-0.144,0.098500427,-1
16/03/2018,0.23469388,0.76530612,0.22052705,0.77947295,-0.0669368,1,0.23095823,0.76904177,-0.0156,-0.506864,0.8,-0.48,0.328334755,-0.021030912,0.144,-1
19/03/2018,0.35409836,0.64590164,0.35222319,0.64777681,-0.63358,1,0.36005171,0.63994829,-0.0333,-0.8,0.547224592,-0.07010304,0.48,-0.105118474,0.144,-1
20/03/2018,0.36809816,0.63190184,0.40555556,0.59444444,-1,0.68403074,0.39680511,0.60319489,-0.0361,-0.1168384,0.8,-0.350394912,0.48,-0.056087525,0.144,-1
21/03/2018,0.35514019,0.64485981,0.31937985,0.68062016,-0.146048,1,0.33154362,0.66845638,-0.0036,-0.58399152,0.8,-0.186958416,0.48,-0.030010723,0.144,-1
22/03/2018,0.36885246,0.63114754,0.75034388,0.24965612,-0.7299894,1,0.72520531,0.27479469,-0.02,-0.31159736,0.8,-0.100035744,0.48,-0.034432877,0.144,1
23/03/2018,0.38095238,0.61904762,0.27642276,0.72357724,-0.2391172,1,0.29120879,0.70879121,0.0076,-0.8,0.77084136,-0.08527488,0.48,-0.032229734,0.144,-1
26/03/2018,0.375,0.625,0.51494565,0.48505435,-1,0.9635517,0.50181818,0.49818182,-0.0172,-0.1421248,0.8,-0.107432448,0.48,-0.041347022,0.144,1
27/03/2018,0.32704403,0.67295598,0.2607338,0.7392662,-0.177656,1,0.28651371,0.71348629,0.0223,-0.17905408,0.8,-0.137823408,0.48,-0.051487531,0.144,1
28/03/2018,0.29281768,0.70718232,0.47354949,0.52645051,-0.2238176,1,0.44452102,0.55547898,0.0024,-0.22970568,0.8,-0.171625104,0.48,-0.008748734,0.144,1
