Date,-1,1,-1,1,-1,1,-1,1,avgPrice_chang,lag 1(0.8),,lag2(.6),,lag3(),,stock_price_movement
14/03/2018,0.246031746,0.753968254,0.265822785,0.734177215,-0.111258895,1,0.268115942,0.731884058,-0.0007,-0.149041425,0.8,-0.213839952,0.48,-0.060527754,0.144,1
15/03/2018,0.22962963,0.77037037,0.153225806,0.846774194,-0.186301781,1,0.191263282,0.808736718,0.0073,-0.356399919,0.8,-0.20175918,0.48,-0.025564961,0.144,1
16/03/2018,0.280898876,0.719101124,0.221606648,0.778393352,-0.445499899,1,0.237623762,0.762376238,0.0145,-0.3362653,0.8,-0.085216536,0.48,-0.034641818,0.144,1
19/03/2018,0.330708661,0.669291339,0.266129032,0.733870968,-0.420331625,1,0.301282051,0.698717949,0.0068,-0.14202756,0.8,-0.115472725,0.48,-0.044494647,0.144,-1
20/03/2018,0.236363636,0.763636364,0.375,0.625,-0.17753445,1,0.346863469,0.653136531,-0.0046,-0.192454542,0.8,-0.148315489,0.48,-0.013898428,0.144,-1
21/03/2018,0.352564103,0.647435897,0.383386581,0.616613419,-0.240568178,1,0.372427984,0.627572016,-0.005,-0.247192482,0.8,-0.046328092,0.48,-0.144,0.086302751,-1
22/03/2018,0.257206208,0.742793792,0.261836442,0.738163558,-0.308990602,1,0.270649559,0.729350441,-0.0155,-0.077213486,0.8,-0.48,0.287675835,-0.03238998,0.144,1
23/03/2018,0.307692308,0.692307692,0.226239067,0.773760933,-0.096516858,1,0.255368352,0.744631648,0.1011,-0.8,0.479459726,-0.107966601,0.48,-0.11020892,0.144,-1
26/03/2018,0.340425532,0.659574468,0.548387097,0.451612903,-1,0.599324657,0.485101311,0.514898689,0.0069,-0.179944335,0.8,-0.367363067,0.48,-0.003644458,0.144,-1
27/03/2018,0.231481481,0.768518519,0.233707865,0.766292135,-0.224930419,1,0.247851003,0.752148997,-0.0005,-0.612271778,0.8,-0.012148195,0.48,-0.144,0.023883534,-1
28/03/2018,0.196078431,0.803921569,0.253731343,0.746268657,-0.765339723,1,0.254716981,0.745283019,-0.0013,-0.020246991,0.8,-0.48,0.079611779,-0.135187201,0.144,1
